LPS	B-cell_type	O	O
-	I-cell_type	O	O
treated	I-cell_type	O	O
cells	I-cell_type	O	O
was	O	O	O
shown	O	O	O
to	O	O	O
be	O	O	O
due	O	O	O
to	O	O	O
a	O	O	O
lower	O	O	O
transcription	O	O	O
rate	O	O	O
of	O	O	O
the	O	O	O
c	B-DNA	B-DNA	O
-	I-DNA	I-DNA	O
fos	I-DNA	I-DNA	O
and	O	I-DNA	O
c	B-DNA	I-DNA	O
-	I-DNA	I-DNA	O
jun	I-DNA	I-DNA	O
genes	I-DNA	I-DNA	O
.	O	O	O

IL	B-DNA	O	O
-	I-DNA	O	O
2	I-DNA	O	O
gene	I-DNA	O	O
expression	O	O	O
and	O	O	O
NF	B-protein	O	O
-	I-protein	O	O
kappa	I-protein	O	O
B	I-protein	O	O
activation	O	O	O
through	O	O	O
CD28	B-protein	O	O
requires	O	O	O
reactive	O	O	O
oxygen	O	O	O
production	O	O	O
by	O	O	O
5	B-protein	O	O
-	I-protein	O	O
lipoxygenase	I-protein	O	O
.	O	O	O

Activation	O	O	O
of	O	O	O
the	O	O	O
CD28	B-protein	B-protein	O
surface	O	I-protein	O
receptor	O	I-protein	O
provides	O	O	O
a	O	O	O
major	O	O	O
costimulatory	O	O	O
signal	O	O	O
for	O	O	O
T	O	O	O
cell	O	O	O
activation	O	O	O
resulting	O	O	O
in	O	O	O
enhanced	O	O	O
production	O	O	O
of	O	O	O
interleukin	B-protein	O	O
-	I-protein	O	O
2	I-protein	O	O
(	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
2	I-protein	O	O
)	O	O	O
and	O	O	O
cell	O	O	O
proliferation	O	O	O
.	O	O	O

When	O	O	O
cells	O	O	O
were	O	O	O
treated	O	O	O
with	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
4	I-protein	O	O
for	O	O	O
5	O	O	O
hours	O	O	O
before	O	O	O
LPS	O	O	O	O
activation	O	O	O
,	O	O	O
both	O	O	O
the	O	O	O
c	O	O	O
-	O	O	O
fos	O	O	O
and	O	O	O
the	O	O	O
c	O	O	O
-	O	O	O
jun	O	O	O
mRNA	O	O	O
expression	O	O	O
was	O	O	O
decreased	O	O	O
.	O	O	O

The	O	O	O
inhibition	O	O	O
of	O	O	O
c	B-DNA	O	O
-	I-DNA	O	O
fos	I-DNA	O	O
and	O	O	O
c	O	O	O
-	O	O	O
jun	O	O	O
expression	O	O	O
by	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
4	I-protein	O	O
in	O	O	O
LPS	B-cell_type	O	O
-	I-cell_type	O	O
treated	I-cell_type	O	O
cells	I-cell_type	O	O
was	O	O	O
shown	O	O	O
to	O	O	O
be	O	O	O
due	O	O	O
to	O	O	O
a	O	O	O
lower	O	O	O
transcription	O	O	O
rate	O	O	O
of	O	O	O
the	O	O	O
c	B-DNA	B-DNA	O
-	I-DNA	I-DNA	O
fos	I-DNA	I-DNA	O
and	O	I-DNA	O
c	B-DNA	I-DNA	O
-	I-DNA	I-DNA	O
jun	I-DNA	I-DNA	O
genes	I-DNA	I-DNA	O
.	O	O	O

IL	B-DNA	O	O
-	I-DNA	O	O
2	I-DNA	O	O
gene	I-DNA	O	O
expression	O	O	O
and	O	O	O
NF	B-protein	O	O
-	I-protein	O	O
kappa	I-protein	O	O
B	I-protein	O	O
activation	O	O	O
through	O	O	O
CD28	B-protein	O	O
requires	O	O	O
reactive	O	O	O
oxygen	O	O	O
production	O	O	O
by	O	O	O
5	B-protein	O	O
-	I-protein	O	O
lipoxygenase	I-protein	O	O
.	O	O	O

Activation	O	O	O
of	O	O	O
the	O	O	O
CD28	B-protein	B-protein	O
surface	O	I-protein	O
receptor	O	I-protein	O
provides	O	O	O
a	O	O	O
major	O	O	O
costimulatory	O	O	O
signal	O	O	O
for	O	O	O
T	O	O	O
cell	O	O	O
activation	O	O	O
resulting	O	O	O
in	O	O	O
enhanced	O	O	O
production	O	O	O
of	O	O	O
interleukin	B-protein	O	O
-	I-protein	O	O
2	I-protein	O	O
(	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
2	I-protein	O	O
)	O	O	O
and	O	O	O
cell	O	O	O
proliferation	O	O	O
.	O	O	O

When	O	O	O
cells	O	O	O
were	O	O	O
treated	O	O	O
with	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
4	I-protein	O	O
for	O	O	O
5	O	O	O
hours	O	O	O
before	O	O	O
LPS	O	O	O	O
activation	O	O	O
,	O	O	O
both	O	O	O
the	O	O	O
c	O	O	O
-	O	O	O
fos	O	O	O
and	O	O	O
the	O	O	O
c	O	O	O
-	O	O	O
jun	O	O	O
mRNA	O	O	O
expression	O	O	O
was	O	O	O
decreased	O	O	O
.	O	O	O

The	O	O	O
inhibition	O	O	O
of	O	O	O
c	B-DNA	O	O
-	I-DNA	O	O
fos	I-DNA	O	O
and	O	O	O
c	O	O	O
-	O	O	O
jun	O	O	O
expression	O	O	O
by	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
4	I-protein	O	O
in	O	O	O
LPS	B-cell_type	O	O
-	I-cell_type	O	O
treated	I-cell_type	O	O
cells	I-cell_type	O	O
was	O	O	O
shown	O	O	O
to	O	O	O
be	O	O	O
due	O	O	O
to	O	O	O
a	O	O	O
lower	O	O	O
transcription	O	O	O
rate	O	O	O
of	O	O	O
the	O	O	O
c	B-DNA	B-DNA	O
-	I-DNA	I-DNA	O
fos	I-DNA	I-DNA	O
and	O	I-DNA	O
c	B-DNA	I-DNA	O
-	I-DNA	I-DNA	O
jun	I-DNA	I-DNA	O
genes	I-DNA	I-DNA	O
.	O	O	O

IL	B-DNA	O	O
-	I-DNA	O	O
2	I-DNA	O	O
gene	I-DNA	O	O
expression	O	O	O
and	O	O	O
NF	B-protein	O	O
-	I-protein	O	O
kappa	I-protein	O	O
B	I-protein	O	O
activation	O	O	O
through	O	O	O
CD28	B-protein	O	O
requires	O	O	O
reactive	O	O	O
oxygen	O	O	O
production	O	O	O
by	O	O	O
5	B-protein	O	O
-	I-protein	O	O
lipoxygenase	I-protein	O	O
.	O	O	O

Activation	O	O	O
of	O	O	O
the	O	O	O
CD28	B-protein	B-protein	O
surface	O	I-protein	O
receptor	O	I-protein	O
provides	O	O	O
a	O	O	O
major	O	O	O
costimulatory	O	O	O
signal	O	O	O
for	O	O	O
T	O	O	O
cell	O	O	O
activation	O	O	O
resulting	O	O	O
in	O	O	O
enhanced	O	O	O
production	O	O	O
of	O	O	O
interleukin	B-protein	O	O
-	I-protein	O	O
2	I-protein	O	O
(	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
2	I-protein	O	O
)	O	O	O
and	O	O	O
cell	O	O	O
proliferation	O	O	O
.	O	O	O

When	O	O	O
cells	O	O	O
were	O	O	O
treated	O	O	O
with	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
4	I-protein	O	O
for	O	O	O
5	O	O	O
hours	O	O	O
before	O	O	O
LPS	O	O	O	O
activation	O	O	O
,	O	O	O
both	O	O	O
the	O	O	O
c	O	O	O
-	O	O	O
fos	O	O	O
and	O	O	O
the	O	O	O
c	O	O	O
-	O	O	O
jun	O	O	O
mRNA	O	O	O
expression	O	O	O
was	O	O	O
decreased	O	O	O
.	O	O	O

The	O	O	O
inhibition	O	O	O
of	O	O	O
c	B-DNA	O	O
-	I-DNA	O	O
fos	I-DNA	O	O
and	O	O	O
c	O	O	O
-	O	O	O
jun	O	O	O
expression	O	O	O
by	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
4	I-protein	O	O
in	O	O	O
LPS	B-cell_type	O	O
-	I-cell_type	O	O
treated	I-cell_type	O	O
cells	I-cell_type	O	O
was	O	O	O
shown	O	O	O
to	O	O	O
be	O	O	O
due	O	O	O
to	O	O	O
a	O	O	O
lower	O	O	O
transcription	O	O	O
rate	O	O	O
of	O	O	O
the	O	O	O
c	B-DNA	B-DNA	O
-	I-DNA	I-DNA	O
fos	I-DNA	I-DNA	O
and	O	I-DNA	O
c	B-DNA	I-DNA	O
-	I-DNA	I-DNA	O
jun	I-DNA	I-DNA	O
genes	I-DNA	I-DNA	O
.	O	O	O

IL	B-DNA	O	O
-	I-DNA	O	O
2	I-DNA	O	O
gene	I-DNA	O	O
expression	O	O	O
and	O	O	O
NF	B-protein	O	O
-	I-protein	O	O
kappa	I-protein	O	O
B	I-protein	O	O
activation	O	O	O
through	O	O	O
CD28	B-protein	O	O
requires	O	O	O
reactive	O	O	O
oxygen	O	O	O
production	O	O	O
by	O	O	O
5	B-protein	O	O
-	I-protein	O	O
lipoxygenase	I-protein	O	O
.	O	O	O

Activation	O	O	O
of	O	O	O
the	O	O	O
CD28	B-protein	B-protein	O
surface	O	I-protein	O
receptor	O	I-protein	O
provides	O	O	O
a	O	O	O
major	O	O	O
costimulatory	O	O	O
signal	O	O	O
for	O	O	O
T	O	O	O
cell	O	O	O
activation	O	O	O
resulting	O	O	O
in	O	O	O
enhanced	O	O	O
production	O	O	O
of	O	O	O
interleukin	B-protein	O	O
-	I-protein	O	O
2	I-protein	O	O
(	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
2	I-protein	O	O
)	O	O	O
and	O	O	O
cell	O	O	O
proliferation	O	O	O
.	O	O	O

When	O	O	O
cells	O	O	O
were	O	O	O
treated	O	O	O
with	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
4	I-protein	O	O
for	O	O	O
5	O	O	O
hours	O	O	O
before	O	O	O
LPS	O	O	O	O
activation	O	O	O
,	O	O	O
both	O	O	O
the	O	O	O
c	O	O	O
-	O	O	O
fos	O	O	O
and	O	O	O
the	O	O	O
c	O	O	O
-	O	O	O
jun	O	O	O
mRNA	O	O	O
expression	O	O	O
was	O	O	O
decreased	O	O	O
.	O	O	O

The	O	O	O
inhibition	O	O	O
of	O	O	O
c	B-DNA	O	O
-	I-DNA	O	O
fos	I-DNA	O	O
and	O	O	O
c	O	O	O
-	O	O	O
jun	O	O	O
expression	O	O	O
by	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
4	I-protein	O	O
in	O	O	O
LPS	B-cell_type	O	O
-	I-cell_type	O	O
treated	I-cell_type	O	O
cells	I-cell_type	O	O
was	O	O	O
shown	O	O	O
to	O	O	O
be	O	O	O
due	O	O	O
to	O	O	O
a	O	O	O
lower	O	O	O
transcription	O	O	O
rate	O	O	O
of	O	O	O
the	O	O	O
c	B-DNA	B-DNA	O
-	I-DNA	I-DNA	O
fos	I-DNA	I-DNA	O
and	O	I-DNA	O
c	B-DNA	I-DNA	O
-	I-DNA	I-DNA	O
jun	I-DNA	I-DNA	O
genes	I-DNA	I-DNA	O
.	O	O	O

IL	B-DNA	O	O
-	I-DNA	O	O
2	I-DNA	O	O
gene	I-DNA	O	O
expression	O	O	O
and	O	O	O
NF	B-protein	O	O
-	I-protein	O	O
kappa	I-protein	O	O
B	I-protein	O	O
activation	O	O	O
through	O	O	O
CD28	B-protein	O	O
requires	O	O	O
reactive	O	O	O
oxygen	O	O	O
production	O	O	O
by	O	O	O
5	B-protein	O	O
-	I-protein	O	O
lipoxygenase	I-protein	O	O
.	O	O	O

Activation	O	O	O
of	O	O	O
the	O	O	O
CD28	B-protein	B-protein	O
surface	O	I-protein	O
receptor	O	I-protein	O
provides	O	O	O
a	O	O	O
major	O	O	O
costimulatory	O	O	O
signal	O	O	O
for	O	O	O
T	O	O	O
cell	O	O	O
activation	O	O	O
resulting	O	O	O
in	O	O	O
enhanced	O	O	O
production	O	O	O
of	O	O	O
interleukin	B-protein	O	O
-	I-protein	O	O
2	I-protein	O	O
(	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
2	I-protein	O	O
)	O	O	O
and	O	O	O
cell	O	O	O
proliferation	O	O	O
.	O	O	O

When	O	O	O
cells	O	O	O
were	O	O	O
treated	O	O	O
with	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
4	I-protein	O	O
for	O	O	O
5	O	O	O
hours	O	O	O
before	O	O	O
LPS	O	O	O	O
activation	O	O	O
,	O	O	O
both	O	O	O
the	O	O	O
c	O	O	O
-	O	O	O
fos	O	O	O
and	O	O	O
the	O	O	O
c	O	O	O
-	O	O	O
jun	O	O	O
mRNA	O	O	O
expression	O	O	O
was	O	O	O
decreased	O	O	O
.	O	O	O

The	O	O	O
inhibition	O	O	O
of	O	O	O
c	B-DNA	O	O
-	I-DNA	O	O
fos	I-DNA	O	O
and	O	O	O
c	O	O	O
-	O	O	O
jun	O	O	O
expression	O	O	O
by	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
4	I-protein	O	O
in	O	O	O
LPS	B-cell_type	O	O
-	I-cell_type	O	O
treated	I-cell_type	O	O
cells	I-cell_type	O	O
was	O	O	O
shown	O	O	O
to	O	O	O
be	O	O	O
due	O	O	O
to	O	O	O
a	O	O	O
lower	O	O	O
transcription	O	O	O
rate	O	O	O
of	O	O	O
the	O	O	O
c	B-DNA	B-DNA	O
-	I-DNA	I-DNA	O
fos	I-DNA	I-DNA	O
and	O	I-DNA	O
c	B-DNA	I-DNA	O
-	I-DNA	I-DNA	O
jun	I-DNA	I-DNA	O
genes	I-DNA	I-DNA	O
.	O	O	O
